sample_id,seq1751 Bauldia;sp44360,seq3593 Bauldia;sp44360,seq3231 Bauldia;sp44360,seq841 Bauldia;sp44360,seq3418 Bauldia;sp44360,seq550 Bauldia;sp44360-sp44364,seq2943 Bauldia;sp44360-sp44364,seq4494 Bauldia;sp44360,seq4936 Bauldia;sp44360,seq1826 Bauldia;sp44360,seq913 Bauldia;sp44360,seq5507 Bauldia;sp44360,seq3204 Bauldia;sp44360,seq326 Bauldia;sp44360,seq233 Bauldia;sp44360,seq2496 Bauldia;sp44359,seq3044 Bauldia;sp44364,seq5752 Bauldia;sp44364-sp44627-sp44639,seq334 Bauldia;sp44364,seq73 Bauldia;sp44364,seq39 Bauldia;sp44364,seq77 Bauldia;sp44364,seq6425 Bauldia;sp44364,seq1076 Bauldia;sp44359-sp44364,seq320 Bauldia;sp44359,seq2640 Bauldia;sp44359,seq3656 Bauldia;sp44359,seq1052 Bauldia;sp44359,seq4635 Bauldia;consociata-sp44359,seq2652 Bauldia;consociata,seq1951 Bauldia;consociata,seq848 Bauldia;consociata,seq2303 Bauldia;sp44362,seq182 Bauldia;litoralis,seq2969 Bauldia;litoralis,seq1425 Bauldia;sp44362,seq4560 Bauldia;sp44362,seq2046 Bauldia;sp44362,seq2217 Bauldia;sp44362,seq2741 Bauldia;sp44362,seq455 Bauldia;sp44362,seq3819 Bauldia;consociata,seq3920 Bauldia;consociata,seq1211 Bauldia;consociata,seq2417 Bauldia;consociata,seq3863 Bauldia;consociata,seq6639 Bauldia;consociata,seq4884 Bauldia;sp44359,seq1461 Bauldia;sp44359,seq6590 Bauldia;sp44359,seq5736 Bauldia;sp44359,seq329 Bauldia;sp44359-sp44635,seq5846 Bauldia;sp44359-sp44635,seq3542 Bauldia;sp44359
Control.CSUSM,18,14,0,65,0,184,0,0,0,0,68,0,12,30,120,0,0,0,300,306,763,431,0,0,188,20,0,54,0,0,61,74,27,252,29,0,0,116,82,0,51,0,16,45,0,21,11,0,44,0,15,119,0,0
Zeus.CSUSM,27,0,0,58,0,21,0,0,0,18,55,0,0,180,224,0,0,15,67,292,235,188,0,97,119,0,0,115,0,19,0,232,0,308,0,48,0,0,15,15,66,0,0,0,17,0,0,0,58,0,0,112,0,0
Brewers.Gold.CSUSM,23,11,54,41,0,151,0,0,0,14,0,0,0,33,92,0,0,0,78,719,1920,971,0,0,62,0,0,0,0,0,22,32,0,275,0,0,0,0,0,0,70,0,0,24,0,16,0,0,16,0,0,177,0,0
Neo1.CSUSM,0,0,0,32,0,0,67,0,0,17,72,0,0,786,361,0,0,0,84,493,1134,657,0,0,68,0,0,77,0,17,0,18,25,93,0,0,0,0,0,0,161,0,0,85,0,0,0,0,0,0,0,107,0,0
Comet.CSUSM,0,0,0,18,0,43,0,0,0,55,22,0,0,203,246,0,0,0,175,485,477,401,0,0,29,14,0,0,14,0,21,0,0,287,0,0,0,0,0,17,91,0,0,0,25,0,0,0,13,0,0,65,0,0
Columbus.CSUSM,33,0,0,49,0,116,0,0,21,0,30,0,0,0,126,0,0,0,46,459,354,452,0,0,45,0,0,0,11,0,17,50,11,289,14,0,0,0,0,0,79,0,20,25,21,0,0,0,35,0,0,25,0,0
Saaz72.CSUSM,0,0,0,0,0,123,0,0,0,0,22,0,0,41,309,0,0,0,76,949,399,247,0,0,615,11,0,23,0,0,0,11,0,121,0,46,0,0,0,20,27,0,0,21,0,0,0,0,0,0,0,80,0,0
Sorachi.Ace.CSUSM,17,18,0,90,0,100,0,27,0,24,35,0,13,53,165,0,62,0,76,278,464,268,0,81,102,0,0,0,0,0,27,24,0,372,0,0,0,0,0,0,82,38,0,28,0,0,0,0,32,0,0,111,0,0
Southern.Cross.CSUSM,29,0,0,28,0,94,0,0,0,23,42,16,0,54,284,69,0,0,260,734,760,692,0,0,125,23,0,62,0,15,0,85,13,283,23,32,11,0,0,25,238,0,0,33,35,0,0,0,30,11,0,277,14,0
Hallertauer.CSUSM,15,0,0,128,0,64,0,0,0,15,121,0,30,148,251,0,0,0,313,615,1027,801,0,46,186,0,42,46,0,18,0,0,32,290,0,61,15,19,18,0,243,0,0,67,0,0,0,22,0,0,0,305,0,45
Fuggle.UK,16,0,0,60,48,33,0,0,0,0,38,0,0,90,104,24,0,0,102,181,502,347,12,173,121,15,0,35,0,13,0,36,0,105,0,70,0,0,0,0,57,0,0,0,0,0,0,0,18,0,0,221,0,0
