sample_id,seq39 Bauldia;sp44364,seq73 Bauldia;sp44364,seq77 Bauldia;sp44364,seq182 Bauldia;litoralis,seq233 Bauldia;sp44360,seq320 Bauldia;sp44359,seq326 Bauldia;sp44360,seq329 Bauldia;sp44359-sp44635,seq334 Bauldia;sp44364,seq455 Bauldia;sp44362,seq550 Bauldia;sp44360-sp44364,seq841 Bauldia;sp44360,seq848 Bauldia;consociata,seq1076 Bauldia;sp44359-sp44364,seq913 Bauldia;sp44360,seq1052 Bauldia;sp44359,seq1211 Bauldia;consociata,seq1425 Bauldia;sp44362,seq1461 Bauldia;sp44359,seq2046 Bauldia;sp44362,seq1751 Bauldia;sp44360,seq2496 Bauldia;sp44359,seq1826 Bauldia;sp44360,seq1951 Bauldia;consociata,seq2943 Bauldia;sp44360-sp44364,seq2303 Bauldia;sp44362,seq3231 Bauldia;sp44360,seq2969 Bauldia;litoralis,seq3418 Bauldia;sp44360,seq3044 Bauldia;sp44364,seq2217 Bauldia;sp44362,seq3204 Bauldia;sp44360,seq3656 Bauldia;sp44359,seq3542 Bauldia;sp44359,seq2741 Bauldia;sp44362,seq3819 Bauldia;consociata,seq2640 Bauldia;sp44359,seq4494 Bauldia;sp44360,seq2417 Bauldia;consociata,seq3593 Bauldia;sp44360,seq3920 Bauldia;consociata,seq5846 Bauldia;sp44359-sp44635,seq6590 Bauldia;sp44359,seq5752 Bauldia;sp44364-sp44627-sp44639,seq4635 Bauldia;consociata-sp44359,seq4560 Bauldia;sp44362,seq6639 Bauldia;consociata,seq5507 Bauldia;sp44360,seq4884 Bauldia;sp44359,seq5736 Bauldia;sp44359,seq4936 Bauldia;sp44360,seq6425 Bauldia;sp44364,seq3863 Bauldia;consociata,seq2652 Bauldia;consociata
Control.CSUSM,0.0026,0.001,0.0015,0.0008,0.0004,0.0006,0.0001,0.0004,0.001,0.0001,0.0006,0.0002,0.0002,0,0.0002,0.0001,0.0001,0,0.0001,0.0004,0,0,0,0.0002,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.001,0.0013,0.0008,0.0014,0.001,0.0005,0.0008,0.0005,0.0003,0.0003,0,0.0002,0.001,0.0004,0.0002,0.0005,0,0.0002,0.0002,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0085,0.0032,0.0043,0.0012,0.0004,0.0002,0.0001,0.0007,0.0003,0.0003,0.0006,0.0001,0.0001,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0051,0.0022,0.0029,0.0004,0.0016,0.0003,0.0035,0.0004,0.0003,0.0007,0,0.0001,0,0,0.0003,0.0003,0.0003,0,0,0,0,0,0,0,0.0003,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0018,0.0018,0.0015,0.001,0.0009,0.0001,0.0007,0.0002,0.0006,0.0003,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0014,0.0018,0.0018,0.0011,0.0005,0.0001,0,0.0001,0.0001,0.0003,0.0004,0.0002,0.0002,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0019,0.0046,0.0012,0.0005,0.0015,0.003,0.0002,0.0003,0.0003,0.0001,0.0006,0,0,0,0.0001,0.0001,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0017,0.001,0.001,0.0013,0.0006,0.0003,0.0001,0.0004,0.0002,0.0003,0.0003,0.0003,0,0.0003,0.0001,0,0.0001,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0034,0.0033,0.0031,0.0012,0.0012,0.0005,0.0002,0.0012,0.0011,0.001,0.0004,0.0001,0.0003,0,0.0001,0.0002,0.0001,0.0001,0.0001,0,0.0001,0.0003,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0041,0.0024,0.0032,0.0011,0.001,0.0007,0.0005,0.0012,0.0012,0.0009,0.0002,0.0005,0,0.0001,0.0004,0.0001,0.0002,0.0002,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0.0001,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,0.0026,0.0009,0.0018,0.0005,0.0005,0.0006,0.0004,0.0011,0.0005,0.0002,0.0001,0.0003,0.0001,0.0008,0.0001,0.0001,0,0.0003,0,0,0,0.0001,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
