sample_id,seq7 Dokdonella;sp65012,seq125 Dokdonella;ginsengisoli-soli,seq315 Dokdonella;ginsengisoli,seq659 Dokdonella;fugitiva,seq796 Dokdonella;sp65012,seq1575 Dokdonella;sp65012,seq2661 Dokdonella;ginsengisoli,seq4322 Dokdonella;fugitiva-sp65012,seq2681 Dokdonella;sp65012,seq3727 Dokdonella;soli,seq6201 Dokdonella;sp65012,seq5747 Dokdonella;ginsengisoli,seq5472 Dokdonella;fugitiva-sp65012,seq5393 Dokdonella;fugitiva-sp65012,seq5485 Dokdonella;sp65012,seq4985 Dokdonella;fugitiva-sp65012,seq5332 Dokdonella;sp65012
Control.CSUSM,0.0091,0.0004,0.0005,0.0001,0.0004,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.011,0.0018,0.0016,0.0002,0.0003,0,0.0001,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.016,0.0026,0.0005,0.0001,0.0007,0,0,0.0001,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0075,0.0032,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0102,0.0003,0.0003,0.0006,0.0002,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0084,0.0005,0.0003,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0097,0.0007,0.0001,0.0001,0.0003,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0115,0.0002,0.0014,0.0004,0,0,0,0,0,0.0001,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0123,0.002,0.0003,0.0003,0.0004,0.0008,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.008,0.0018,0.0005,0.0004,0,0,0,0,0.0001,0,0,0,0,0,0,0,0
Fuggle.UK,0.0123,0.0014,0.0007,0.0002,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0
