sample_id,seq991 Dongia;sp46092,seq153 Dongia;sp46092,seq421 Dongia;sp46092,seq5346 Dongia;sp46092,seq4915 Dongia;sp46092,seq2777 Dongia;sp46092-sp46093,seq3567 Dongia;sp46093,seq3570 Dongia;sp46092-sp46093,seq4657 Dongia;sp46092,seq301 Dongia;sp46093,seq773 Dongia;sp46092,seq6872 Dongia;sp46092,seq5399 Dongia;sp46092,seq5848 Dongia;sp46092,seq5248 Dongia;sp46092,seq3768 Dongia;sp46092,seq642 Dongia;sp46092,seq1864 Dongia;sp46092,seq186 Dongia;sp46092,seq366 Dongia;sp46092,seq5264 Dongia;sp46092,seq5043 Dongia;sp46092,seq623 Dongia;sp46092,seq2251 Dongia;sp46094,seq4517 Dongia;sp46094
Control.CSUSM,0,1054,704,0,0,0,0,22,0,208,78,0,17,0,18,0,130,0,703,0,0,0,68,0,0
Zeus.CSUSM,123,0,0,0,0,0,0,0,0,44,33,0,0,0,0,0,0,66,0,413,0,0,15,13,0
Brewers.Gold.CSUSM,0,173,14,0,0,0,0,0,0,129,82,0,0,14,0,40,253,0,248,0,0,0,11,0,0
Neo1.CSUSM,0,214,0,0,0,0,0,0,0,169,45,0,0,0,0,0,98,0,299,0,0,0,158,0,0
Comet.CSUSM,0,412,0,0,0,18,31,11,0,294,0,0,0,0,0,0,35,0,255,0,0,0,162,65,0
Columbus.CSUSM,106,0,0,0,0,16,0,0,0,82,45,0,0,0,0,0,0,28,0,257,0,0,243,18,0
Saaz72.CSUSM,0,298,138,0,0,0,0,11,0,107,0,11,0,0,0,0,59,0,276,0,0,0,18,0,0
Sorachi.Ace.CSUSM,115,0,0,0,0,15,14,0,0,97,89,0,0,0,0,0,0,39,0,542,0,0,29,0,26
Southern.Cross.CSUSM,0,257,348,0,21,0,0,0,0,391,52,0,0,0,0,0,121,0,628,0,18,20,103,0,0
Hallertauer.CSUSM,0,592,51,0,0,0,0,0,24,227,75,0,0,0,0,0,85,0,240,0,0,0,0,0,0
Fuggle.UK,107,0,0,17,0,26,0,0,0,30,129,0,0,0,0,0,0,26,0,245,0,0,0,16,0
