sample_id,seq153 Dongia;sp46092,seq186 Dongia;sp46092,seq301 Dongia;sp46093,seq366 Dongia;sp46092,seq421 Dongia;sp46092,seq642 Dongia;sp46092,seq623 Dongia;sp46092,seq773 Dongia;sp46092,seq991 Dongia;sp46092,seq1864 Dongia;sp46092,seq2251 Dongia;sp46094,seq3567 Dongia;sp46093,seq2777 Dongia;sp46092-sp46093,seq3768 Dongia;sp46092,seq4915 Dongia;sp46092,seq6872 Dongia;sp46092,seq4517 Dongia;sp46094,seq3570 Dongia;sp46092-sp46093,seq5248 Dongia;sp46092,seq5399 Dongia;sp46092,seq5346 Dongia;sp46092,seq5264 Dongia;sp46092,seq4657 Dongia;sp46092,seq5043 Dongia;sp46092,seq5848 Dongia;sp46092
Control.CSUSM,0.0036,0.0024,0.0007,0,0.0024,0.0004,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0,0,0.0002,0.0018,0,0,0,0.0001,0.0005,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0007,0.0011,0.0005,0,0,0.0011,0,0.0003,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0009,0.0013,0.0007,0,0,0.0004,0.0007,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0015,0.0009,0.0011,0,0,0.0001,0.0006,0,0,0,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0,0,0.0003,0.001,0,0,0.0009,0.0001,0.0004,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0014,0.0013,0.0005,0,0.0006,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0,0,0.0003,0.002,0,0,0.0001,0.0003,0.0004,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0011,0.0028,0.0017,0,0.0015,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0023,0.0009,0.0009,0,0.0002,0.0003,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,0,0,0.0001,0.0012,0,0,0,0.0006,0.0005,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
