sample_id,seq2771 Haliangium;sp53722,seq3374 Haliangium;sp53722,seq4184 Haliangium;sp53722,seq239 Haliangium;sp53722,seq2727 Haliangium;sp53722,seq4110 Haliangium;sp53576-sp53722,seq932 Haliangium;sp53576-sp53722,seq2674 Haliangium;sp53576-sp53722,seq1279 Haliangium;sp53653,seq3854 Haliangium;sp53695,seq6499 Haliangium;sp53641,seq1127 Haliangium;sp53671,seq2518 Haliangium;sp53671,seq2415 Haliangium;sp53671,seq423 Haliangium;sp53671,seq1303 Haliangium;sp53653,seq4626 Haliangium;sp53653,seq6440 Haliangium;sp53591,seq6371 Haliangium;sp53704,seq1051 Haliangium;sp53725,seq3732 Haliangium;sp53658-sp53687,seq2733 Haliangium;sp53581,seq3536 Haliangium;sp53581,seq284 Haliangium;sp53606,seq3166 Haliangium;sp53720,seq2133 Haliangium;sp53702,seq1851 Haliangium;sp53706,seq3730 Haliangium;sp53697,seq5176 Haliangium;sp53689,seq2728 Haliangium;sp53638,seq1544 Haliangium;sp53637,seq3837 Haliangium;sp53637,seq4105 Haliangium;sp53618,seq4746 Haliangium;sp53618,seq1693 Haliangium;sp53618,seq2218 Haliangium;sp53618,seq2742 Haliangium;sp53712,seq826 Haliangium;sp53655,seq6198 Haliangium;sp53712,seq317 Haliangium;sp53712,seq85 Haliangium;sp53712,seq3928 Haliangium;sp53712,seq356 Haliangium;sp53712,seq1973 Haliangium;sp53609-sp53690,seq5423 Haliangium;sp53609,seq1177 Haliangium;sp53609,seq6748 Haliangium;sp53609,seq720 Haliangium;sp53609,seq1980 Haliangium;sp53609,seq1976 Haliangium;sp53585-sp53625,seq2680 Haliangium;sp53646,seq2718 Haliangium;sp53585-sp53625,seq3957 Haliangium;sp53639,seq5940 Haliangium;sp53639,seq6537 Haliangium;sp53607,seq3630 Haliangium;sp53637-sp53667,seq2206 Haliangium;sp53637,seq5032 Haliangium;sp53637,seq1827 Haliangium;sp53637
Control.CSUSM,0,14,0,234,27,33,100,22,42,0,0,17,0,0,246,44,0,0,0,58,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,902,544,0,74,30,0,0,0,0,0,30,0,42,11,0,0,0,67,0,26
Zeus.CSUSM,0,0,0,318,0,0,38,12,23,0,0,0,0,25,56,0,0,0,0,69,0,0,0,408,0,0,0,0,19,0,56,22,0,0,0,0,21,90,0,70,533,0,90,13,0,0,11,53,46,0,0,0,0,0,0,0,0,0,15
Brewers.Gold.CSUSM,0,0,0,97,0,0,34,0,78,0,0,0,0,0,89,0,0,0,0,46,0,17,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1270,0,97,0,0,0,0,141,0,0,80,0,0,0,0,0,0,0,19
Neo1.CSUSM,0,0,0,102,0,0,59,18,19,0,0,0,0,0,19,0,0,0,0,13,13,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,36,0,45,0,0,0,20,0,29,0,0,13,0,0,0,0,20,0
Comet.CSUSM,0,23,0,286,25,0,30,0,0,22,0,0,0,0,106,115,0,0,0,44,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,55,0,491,0,0,269,0,0,0,20,0,0,0,0,0,0,14,0,36
Columbus.CSUSM,25,0,0,250,12,0,41,0,18,16,0,33,0,53,231,38,0,12,0,47,0,0,18,42,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,83,281,0,159,11,0,76,0,21,0,21,0,0,0,0,0,0,35,0,36
Saaz72.CSUSM,0,0,0,68,0,0,18,0,11,0,0,67,0,0,127,26,0,0,12,22,27,14,0,155,40,95,81,0,0,0,0,0,19,0,27,0,0,0,0,79,215,0,402,11,0,0,0,108,0,0,0,37,0,0,0,0,0,0,20
Sorachi.Ace.CSUSM,29,0,0,263,14,0,61,13,34,0,0,216,91,0,106,0,25,0,0,49,0,23,0,61,0,0,0,0,0,0,28,0,0,0,27,0,33,291,0,189,114,0,51,23,0,0,0,44,81,12,0,0,0,14,0,11,0,0,14
Southern.Cross.CSUSM,21,0,31,84,0,0,41,16,11,0,0,0,0,0,120,33,0,0,0,0,0,11,0,136,17,28,32,0,0,0,0,0,0,23,11,0,0,0,0,95,286,0,44,12,0,0,0,103,0,18,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0,13,0,323,0,0,20,0,14,0,0,0,0,0,118,34,0,0,0,22,0,13,0,221,0,0,29,0,0,78,67,16,14,0,124,115,23,0,0,69,408,0,68,0,17,0,0,199,0,15,0,0,0,0,12,13,0,0,0
Fuggle.UK,0,0,0,237,0,0,49,0,49,0,12,33,0,20,27,0,0,0,0,42,0,0,0,143,0,0,19,0,0,0,76,0,0,0,0,0,0,196,0,16,371,0,15,0,0,0,0,0,17,0,0,0,11,0,0,19,0,0,0
